Name,ast_ra,ast_dec,dist_center_ra,dist_center_dec,dist_center_norm,visual_magnitude,ra_rate,dec_rate,streak_length
(2020 WU5),04:52:07.72,+67 4925.4,-828.0,-310.0,885.6,15.1,-639.7,679.4,7.776390774145949
(2021 CY2),05:01:21.96,+67 2900.9,2000.0,-2000.0,2781.0,19.6,349.7,-214.1,3.416960353231444
