Name,ast_ra,ast_dec,dist_center_ra,dist_center_dec,dist_center_norm,visual_magnitude,ra_rate,dec_rate,streak_length
36752 (2000 RZ69),11:14:22.73,+14 1007.7,-1000.0,-39.3,1226.0,19.6,-23.6,9.992,0.21356759013379242
40374 (1999 NG36),11:14:25.95,+14 2354.9,-1000.0,788.0,1417.0,18.7,-20.72,22.95,0.25766323035656014
59777 (1999 NK35),11:15:59.42,+14 2157.6,181.0,671.0,694.5,19.7,-21.94,17.06,0.23160178947687105
146290 (2001 HE9),11:14:28.99,+14 2219.4,-1000.0,692.0,1329.0,19.9,-22.4,17.33,0.23600978381320456
162310 (1999 WN13),11:14:14.59,+13 5533.3,-1000.0,-914.0,1626.0,19.9,-25.18,17.91,0.25749871898278986
(2021 CR2),11:15:50.63,+14 0657.5,52.9,-229.0,235.5,18.1,1358.0,2120.0,20.980420766885388
